source,DuctFlow,HypDistrib,CardiacMixing,HypoxiaInO2,LungParench,CO2,ChestXray,LungFlow,Grunting,Sick,LVH,LVHreport,LowerBodyO2,RUQO2,CO2Report,XrayReport,BirthAsphyxia,Disease,GruntingReport,Age
DuctFlow,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HypDistrib,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
CardiacMixing,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HypoxiaInO2,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
LungParench,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
CO2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
ChestXray,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
LungFlow,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Grunting,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Sick,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
LVH,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
LVHreport,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
LowerBodyO2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RUQO2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CO2Report,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
XrayReport,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BirthAsphyxia,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Disease,True,False,True,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True
GruntingReport,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Age,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
